"Date","Sweden","United Kingdom"
"12/14/2023","2,738,868","24,812,582"
"12/13/2023","2,738,868","24,812,582"
"12/12/2023","2,738,868","24,812,582"
"12/11/2023","2,738,868","24,812,582"
"12/10/2023","2,738,868","24,812,582"
"12/9/2023","2,738,868","24,812,582"
"12/8/2023","2,738,868","24,812,582"
"12/7/2023","2,736,276","24,812,582"
"12/6/2023","2,736,276","24,812,582"
"12/5/2023","2,736,276","24,812,582"
"12/4/2023","2,736,276","24,812,582"
"12/3/2023","2,736,276","24,812,582"
"12/2/2023","2,736,276","24,812,582"
"12/1/2023","2,732,994","24,812,582"
"11/30/2023","2,732,994","24,812,582"
"11/29/2023","2,732,994","24,812,582"
"11/28/2023","2,732,994","24,812,582"
"11/27/2023","2,732,994","24,812,582"
"11/26/2023","2,732,994","24,812,582"
"11/25/2023","2,732,994","24,809,742"
"11/24/2023","2,732,994","24,809,742"
"11/23/2023","2,729,650","24,809,742"
"11/22/2023","2,729,650","24,809,742"
"11/21/2023","2,729,650","24,804,243"
"11/20/2023","2,729,650","24,804,243"
"11/19/2023","2,729,650","24,804,243"
"11/18/2023","2,729,650","24,804,243"
"11/17/2023","2,729,650","24,804,243"
"11/16/2023","2,726,128","24,804,243"
"11/15/2023","2,726,128","24,804,243"
"11/14/2023","2,726,128","24,804,243"
"11/13/2023","2,726,128","24,804,243"
"11/12/2023","2,726,128","24,804,243"
"11/11/2023","2,726,128","24,804,243"
"11/10/2023","2,726,128","24,804,243"
"11/9/2023","2,723,397","24,796,408"
"11/8/2023","2,723,397","24,796,408"
"11/7/2023","2,723,397","24,796,408"
"11/6/2023","2,723,397","24,796,408"
"11/5/2023","2,723,397","24,796,408"
"11/4/2023","2,723,397","24,789,488"
"11/3/2023","2,723,397","24,789,488"
"11/2/2023","2,721,405","24,789,488"
"11/1/2023","2,721,405","24,789,488"
"10/31/2023","2,721,405","24,789,488"
"10/30/2023","2,721,405","24,789,488"
"10/29/2023","2,721,405","24,789,488"
"10/28/2023","2,721,405","24,789,488"
"10/27/2023","2,721,405","24,789,488"
"10/26/2023","2,720,119","24,779,150"
"10/25/2023","2,720,119","24,779,150"
"10/24/2023","2,720,119","24,779,150"
"10/23/2023","2,720,119","24,779,150"
"10/22/2023","2,720,119","24,779,150"
"10/21/2023","2,720,119","24,779,150"
"10/20/2023","2,720,119","24,779,150"
"10/19/2023","2,720,119","24,744,902"
"10/18/2023","2,718,870","24,743,787"
"10/17/2023","2,718,870","24,743,787"
"10/16/2023","2,718,870","24,743,787"
"10/15/2023","2,718,870","24,743,787"
"10/14/2023","2,718,870","24,743,787"
"10/13/2023","2,718,870","24,743,787"
"10/12/2023","2,718,172","24,743,787"
"10/11/2023","2,718,172","24,743,787"
"10/10/2023","2,718,172","24,743,787"
"10/9/2023","2,718,172","24,716,776"
"10/8/2023","2,718,172","24,715,857"
"10/7/2023","2,718,172","24,715,857"
"10/6/2023","2,718,172","24,715,857"
"10/5/2023","2,718,172","24,715,857"
"10/4/2023","2,717,578","24,704,113"
"10/3/2023","2,717,578","24,704,113"
"10/2/2023","2,717,578","24,704,113"
"10/1/2023","2,717,578","24,704,113"
"9/30/2023","2,717,578","24,704,113"
"9/29/2023","2,717,578","24,704,113"
"9/28/2023","2,717,578","24,704,113"
"9/27/2023","2,717,578","24,704,113"
"9/26/2023","2,717,578","24,704,113"
"9/25/2023","2,716,903","24,704,113"
"9/24/2023","2,716,903","24,704,113"
"9/23/2023","2,716,903","24,704,113"
"9/22/2023","2,716,903","24,704,113"
"9/21/2023","2,716,903","24,704,113"
"9/20/2023","2,716,246","24,704,113"
"9/19/2023","2,716,246","24,704,113"
"9/18/2023","2,716,246","24,704,113"
"9/17/2023","2,716,246","24,704,113"
"9/16/2023","2,716,246","24,704,113"
